"ID_PARTICIPANTE";"IDBENEFICIO";"NOME";"VL_VALOR";"DT_INICIO_BENEFICIO"
"10123508";"487";"NP - Beneficio Pleno";"562,52";"01/03/2013"
"10123509";"487";"NP - Beneficio Pleno";"24,79";"07/02/2007"
"10123510";"487";"NP - Beneficio Pleno";"38,83";"18/07/2008"
"10123511";"487";"NP - Beneficio Pleno";"924,91";"10/03/2015"
"10123512";"487";"NP - Beneficio Pleno";"128,23";"27/05/2010"
"10123513";"487";"NP - Beneficio Pleno";"477,58";"25/08/2012"
"10123514";"487";"NP - Beneficio Pleno";"189,59";"01/05/2010"
"10123515";"487";"NP - Beneficio Pleno";"671,88";"25/04/2015"
"10123516";"487";"NP - Beneficio Pleno";"618,31";"25/08/2012"
"10123517";"487";"NP - Beneficio Pleno";"650,25";"01/08/2013"
"10123518";"487";"NP - Beneficio Pleno";"121,81";"01/05/2010"
"10123519";"487";"NP - Beneficio Pleno";"1331,24";"25/04/2015"
"10123520";"487";"NP - Beneficio Pleno";"430,09";"22/05/2012"
"10123521";"487";"NP - Beneficio Pleno";"426,74";"19/02/2011"
"10123522";"487";"NP - Beneficio Pleno";"550,74";"24/08/2012"
"10123523";"487";"NP - Beneficio Pleno";"121,84";"01/03/2008"
"10123524";"487";"NP - Beneficio Pleno";"369,62";"01/07/2011"
"10123525";"487";"NP - Beneficio Pleno";"1558,81";"03/02/2015"
"10123526";"487";"NP - Beneficio Pleno";"1591,85";"02/09/2013"
"10123527";"487";"NP - Beneficio Pleno";"525,01";"25/08/2012"
"10123528";"481";"NP - Beneficio por Invalidez";"975,51";"01/03/2016"
"10123529";"487";"NP - Beneficio Pleno";"771,99";"26/05/2015"
"10123530";"487";"NP - Beneficio Pleno";"1562,35";"08/04/2015"
"10123531";"487";"NP - Beneficio Pleno";"703,31";"04/07/2012"
"10123532";"487";"NP - Beneficio Pleno";"279,55";"12/05/2010"
"10123533";"487";"NP - Beneficio Pleno";"905,51";"28/03/2015"
"10123534";"487";"NP - Beneficio Pleno";"1012,81";"28/07/2016"
"10123535";"487";"NP - Beneficio Pleno";"547,56";"17/08/2013"
"10123536";"487";"NP - Beneficio Pleno";"1628,79";"29/05/2015"
"10123537";"487";"NP - Beneficio Pleno";"1338,38";"12/05/2014"
"10123538";"487";"NP - Beneficio Pleno";"238,95";"19/12/2009"
"10123539";"487";"NP - Beneficio Pleno";"151,35";"04/01/2011"
"10123540";"487";"NP - Beneficio Pleno";"266,86";"01/07/2011"
"10123541";"487";"NP - Beneficio Pleno";"659,69";"19/05/2015"
"10123542";"487";"NP - Beneficio Pleno";"522,93";"25/08/2012"
"10123543";"487";"NP - Beneficio Pleno";"727,26";"25/08/2012"
"10123544";"487";"NP - Beneficio Pleno";"420,62";"05/10/2013"
"10123545";"487";"NP - Beneficio Pleno";"879,53";"09/05/2015"
"10123546";"487";"NP - Beneficio Pleno";"163,86";"24/04/2010"
"10123547";"487";"NP - Beneficio Pleno";"716,23";"24/03/2015"
"10123548";"487";"NP - Beneficio Pleno";"1200,83";"28/04/2016"
"10123549";"487";"NP - Beneficio Pleno";"849,07";"21/04/2016"
"10123550";"481";"NP - Beneficio por Invalidez";"760,02";"27/04/2012"
"10123551";"487";"NP - Beneficio Pleno";"504,94";"18/08/2012"
"10123552";"487";"NP - Beneficio Pleno";"433,99";"02/04/2010"
"10123553";"487";"NP - Beneficio Pleno";"475,70";"25/08/2012"
"10123554";"487";"NP - Beneficio Pleno";"911,12";"30/05/2015"
"10123555";"487";"NP - Beneficio Pleno";"1090,75";"26/04/2016"
"10123556";"487";"NP - Beneficio Pleno";"892,30";"22/06/2011"
"10123557";"487";"NP - Beneficio Pleno";"1347,17";"29/05/2015"
"10123558";"487";"NP - Beneficio Pleno";"777,13";"30/05/2015"
"10123559";"487";"NP - Beneficio Pleno";"1350,88";"30/05/2015"
"10123560";"487";"NP - Beneficio Pleno";"979,59";"30/05/2015"
"10123561";"487";"NP - Beneficio Pleno";"833,36";"02/03/2016"
"10123562";"487";"NP - Beneficio Pleno";"966,19";"10/03/2015"
"10123563";"487";"NP - Beneficio Pleno";"1959,63";"01/05/2015"
"10123564";"487";"NP - Beneficio Pleno";"998,40";"29/05/2015"
"10123565";"487";"NP - Beneficio Pleno";"570,42";"25/08/2012"
"10123566";"487";"NP - Beneficio Pleno";"119,50";"30/06/2009"
"10123567";"487";"NP - Beneficio Pleno";"934,92";"09/08/2014"
"10123568";"487";"NP - Beneficio Pleno";"459,02";"13/08/2012"
"10123569";"487";"NP - Beneficio Pleno";"681,53";"01/04/2015"
"10123570";"487";"NP - Beneficio Pleno";"372,28";"23/03/2015"
"10123571";"487";"NP - Beneficio Pleno";"647,74";"30/04/2016"
"10123572";"487";"NP - Beneficio Pleno";"1016,08";"01/07/2013"
"10123573";"487";"NP - Beneficio Pleno";"437,85";"30/11/2013"
"10123574";"487";"NP - Beneficio Pleno";"71,46";"16/10/2014"
"10123575";"481";"NP - Beneficio por Invalidez";"137,41";"02/10/2008"
"10123576";"487";"NP - Beneficio Pleno";"1308,27";"29/05/2015"
"10123577";"487";"NP - Beneficio Pleno";"363,15";"28/11/2012"
"10123578";"487";"NP - Beneficio Pleno";"590,18";"22/05/2015"
"10123579";"487";"NP - Beneficio Pleno";"585,16";"10/03/2015"
"10123580";"487";"NP - Beneficio Pleno";"446,41";"22/02/2011"
"10123581";"487";"NP - Beneficio Pleno";"449,85";"01/02/2011"
"10123582";"487";"NP - Beneficio Pleno";"998,93";"28/05/2015"
"10123583";"487";"NP - Beneficio Pleno";"560,49";"13/03/2015"
"10123584";"487";"NP - Beneficio Pleno";"364,61";"16/03/2015"
"10123585";"487";"NP - Beneficio Pleno";"623,61";"01/03/2013"
"10123586";"487";"NP - Beneficio Pleno";"968,18";"25/08/2012"
"10123587";"487";"NP - Beneficio Pleno";"301,02";"27/02/2008"
"10123588";"487";"NP - Beneficio Pleno";"719,16";"17/05/2014"
"10123589";"487";"NP - Beneficio Pleno";"473,88";"28/04/2015"
"10123590";"487";"NP - Beneficio Pleno";"863,98";"01/03/2013"
"10123591";"487";"NP - Beneficio Pleno";"309,69";"07/07/2012"
"10123592";"487";"NP - Beneficio Pleno";"120,79";"01/04/2008"
"10123593";"487";"NP - Beneficio Pleno";"1659,92";"19/03/2015"
"10123594";"487";"NP - Beneficio Pleno";"697,15";"20/01/2012"
"10123595";"487";"NP - Beneficio Pleno";"77,82";"07/06/2008"
"10123596";"487";"NP - Beneficio Pleno";"807,81";"30/05/2015"
"10123597";"487";"NP - Beneficio Pleno";"560,36";"28/07/2012"
"10123598";"487";"NP - Beneficio Pleno";"1454,33";"01/11/2012"
"10123599";"487";"NP - Beneficio Pleno";"955,62";"28/04/2016"
"10123600";"487";"NP - Beneficio Pleno";"745,53";"17/06/2014"
"10123601";"487";"NP - Beneficio Pleno";"1046,88";"28/04/2016"
"10123602";"487";"NP - Beneficio Pleno";"428,46";"05/02/2012"
"10123603";"487";"NP - Beneficio Pleno";"922,87";"04/05/2015"
"10123604";"487";"NP - Beneficio Pleno";"485,96";"01/03/2013"
"10123605";"487";"NP - Beneficio Pleno";"582,26";"29/05/2015"
"10123606";"487";"NP - Beneficio Pleno";"1004,21";"17/08/2013"
"10123607";"487";"NP - Beneficio Pleno";"508,14";"22/02/2011"
"10123608";"487";"NP - Beneficio Pleno";"364,73";"03/01/2013"
"10123609";"487";"NP - Beneficio Pleno";"573,82";"28/05/2015"
"10123610";"487";"NP - Beneficio Pleno";"397,02";"03/03/2010"
"10123611";"487";"NP - Beneficio Pleno";"229,21";"13/03/2010"
"10123612";"487";"NP - Beneficio Pleno";"860,70";"21/07/2012"
"10123613";"487";"NP - Beneficio Pleno";"143,17";"01/05/2010"
"10123614";"481";"NP - Beneficio por Invalidez";"501,46";"18/07/2014"
"10123615";"487";"NP - Beneficio Pleno";"74,23";"12/01/2008"
"10123616";"487";"NP - Beneficio Pleno";"1011,85";"18/04/2015"
"10123617";"487";"NP - Beneficio Pleno";"982,38";"31/03/2015"
"10123618";"487";"NP - Beneficio Pleno";"651,42";"06/09/2014"
"10123619";"487";"NP - Beneficio Pleno";"419,18";"25/08/2012"
"10123620";"487";"NP - Beneficio Pleno";"273,06";"24/06/2009"
"10123621";"481";"NP - Beneficio por Invalidez";"320,89";"30/01/2015"
"10123622";"487";"NP - Beneficio Pleno";"602,70";"13/05/2015"
"10123623";"487";"NP - Beneficio Pleno";"1031,22";"01/05/2015"
"10123624";"487";"NP - Beneficio Pleno";"843,07";"23/04/2016"
"10123625";"487";"NP - Beneficio Pleno";"1154,51";"25/04/2016"
"10123626";"487";"NP - Beneficio Pleno";"1103,05";"16/05/2015"
"10123627";"487";"NP - Beneficio Pleno";"51,92";"09/11/2008"
"10123628";"487";"NP - Beneficio Pleno";"988,88";"25/05/2015"
"10123629";"487";"NP - Beneficio Pleno";"1468,78";"30/04/2016"
"10123630";"487";"NP - Beneficio Pleno";"1152,37";"22/05/2015"
"10123631";"487";"NP - Beneficio Pleno";"1402,67";"30/04/2016"
"10123632";"487";"NP - Beneficio Pleno";"915,92";"30/05/2015"
"10123633";"487";"NP - Beneficio Pleno";"626,49";"25/05/2015"
"10123634";"487";"NP - Beneficio Pleno";"683,84";"04/05/2015"
"10123635";"487";"NP - Beneficio Pleno";"590,72";"22/05/2015"
"10123636";"487";"NP - Beneficio Pleno";"437,96";"09/05/2015"
"10123637";"487";"NP - Beneficio Pleno";"217,30";"09/03/2009"
"10123638";"487";"NP - Beneficio Pleno";"130,24";"18/06/2014"
"10123639";"481";"NP - Beneficio por Invalidez";"2410,93";"01/03/2012"
"10123640";"481";"NP - Beneficio por Invalidez";"917,98";"01/07/2014"
"10123641";"487";"NP - Beneficio Pleno";"315,46";"29/05/2015"
"10123642";"487";"NP - Beneficio Pleno";"220,74";"01/02/2011"
"10123643";"487";"NP - Beneficio Pleno";"1057,85";"16/04/2015"
"10123644";"487";"NP - Beneficio Pleno";"5140,88";"29/04/2016"
"10123645";"487";"NP - Beneficio Pleno";"467,83";"01/05/2010"
"10123646";"487";"NP - Beneficio Pleno";"855,61";"21/03/2015"
"10123647";"487";"NP - Beneficio Pleno";"1162,15";"28/05/2015"
"10123648";"487";"NP - Beneficio Pleno";"470,52";"25/04/2015"
"10123649";"487";"NP - Beneficio Pleno";"87,58";"20/12/2008"
"10123650";"487";"NP - Beneficio Pleno";"1123,32";"19/07/2016"
"10123651";"487";"NP - Beneficio Pleno";"1204,70";"21/07/2016"
"10123652";"487";"NP - Beneficio Pleno";"340,08";"24/04/2010"
"10123653";"487";"NP - Beneficio Pleno";"915,84";"01/03/2016"
"10123654";"487";"NP - Beneficio Pleno";"589,21";"01/07/2011"
"10123655";"487";"NP - Beneficio Pleno";"51,66";"19/01/2008"
"10123656";"481";"NP - Beneficio por Invalidez";"503,61";"05/01/2011"
"10123657";"487";"NP - Beneficio Pleno";"219,94";"25/08/2012"
"10123658";"487";"NP - Beneficio Pleno";"690,34";"28/04/2016"
"10123659";"487";"NP - Beneficio Pleno";"714,84";"29/11/2014"
"10123660";"487";"NP - Beneficio Pleno";"159,95";"21/03/2009"
"10123661";"487";"NP - Beneficio Pleno";"2271,88";"24/06/2016"
"10123662";"487";"NP - Beneficio Pleno";"183,62";"29/04/2011"
"10123663";"487";"NP - Beneficio Pleno";"1364,65";"21/05/2015"
"10123664";"487";"NP - Beneficio Pleno";"784,56";"09/04/2015"
"10123665";"487";"NP - Beneficio Pleno";"212,51";"01/05/2010"
"10123666";"487";"NP - Beneficio Pleno";"97,30";"03/01/2008"
"10123667";"487";"NP - Beneficio Pleno";"708,06";"23/05/2015"
"10123668";"487";"NP - Beneficio Pleno";"952,88";"03/01/2013"
"10123669";"487";"NP - Beneficio Pleno";"273,46";"01/07/2011"
"10123670";"487";"NP - Beneficio Pleno";"1075,24";"20/08/2016"
"10123671";"487";"NP - Beneficio Pleno";"1479,03";"11/07/2013"
"10123672";"487";"NP - Beneficio Pleno";"958,33";"21/03/2015"
"10123673";"481";"NP - Beneficio por Invalidez";"715,43";"04/06/2013"
"10123674";"487";"NP - Beneficio Pleno";"1927,33";"01/07/2014"
"10123675";"487";"NP - Beneficio Pleno";"421,03";"15/03/2011"
"10123676";"487";"NP - Beneficio Pleno";"243,66";"23/06/2011"
"10123677";"487";"NP - Beneficio Pleno";"43,69";"29/02/2008"
"10123678";"487";"NP - Beneficio Pleno";"606,85";"25/08/2012"
"10123679";"487";"NP - Beneficio Pleno";"843,07";"25/08/2012"
"10123680";"487";"NP - Beneficio Pleno";"823,94";"30/05/2015"
"10123681";"487";"NP - Beneficio Pleno";"1547,32";"04/08/2015"
"10123682";"487";"NP - Beneficio Pleno";"1980,93";"27/07/2016"
"10123683";"487";"NP - Beneficio Pleno";"529,65";"17/08/2013"
"10123684";"487";"NP - Beneficio Pleno";"412,93";"25/08/2012"
"10123685";"487";"NP - Beneficio Pleno";"138,55";"14/07/2010"
"10123686";"487";"NP - Beneficio Pleno";"493,30";"17/08/2013"
"10123687";"487";"NP - Beneficio Pleno";"501,42";"25/08/2012"
"10123688";"487";"NP - Beneficio Pleno";"439,11";"29/11/2014"
"10123689";"487";"NP - Beneficio Pleno";"1268,57";"24/03/2015"
"10123690";"487";"NP - Beneficio Pleno";"306,93";"15/10/2010"
"10123691";"481";"NP - Beneficio por Invalidez";"272,21";"11/10/2012"
"10123692";"487";"NP - Beneficio Pleno";"662,58";"28/05/2015"
"10123693";"487";"NP - Beneficio Pleno";"988,08";"24/04/2016"
"10123694";"487";"NP - Beneficio Pleno";"252,85";"01/05/2011"
"10123695";"487";"NP - Beneficio Pleno";"408,90";"01/05/2010"
"10123696";"487";"NP - Beneficio Pleno";"1009,50";"12/06/2015"
"10123697";"487";"NP - Beneficio Pleno";"299,09";"01/02/2011"
"10123698";"487";"NP - Beneficio Pleno";"777,85";"01/04/2015"
"10123699";"487";"NP - Beneficio Pleno";"1223,95";"01/03/2013"
"10123700";"487";"NP - Beneficio Pleno";"294,07";"16/06/2011"
"10123701";"487";"NP - Beneficio Pleno";"458,58";"22/05/2015"
"10123702";"487";"NP - Beneficio Pleno";"926,12";"25/05/2015"
"10123703";"487";"NP - Beneficio Pleno";"1431,49";"23/05/2015"
"10123704";"487";"NP - Beneficio Pleno";"1221,45";"29/04/2016"
"10123705";"487";"NP - Beneficio Pleno";"1027,83";"19/07/2016"
"10123706";"487";"NP - Beneficio Pleno";"499,60";"23/05/2015"
"10123707";"487";"NP - Beneficio Pleno";"362,09";"04/09/2009"
"10123708";"487";"NP - Beneficio Pleno";"591,34";"16/05/2015"
"10123709";"487";"NP - Beneficio Pleno";"1122,96";"31/03/2015"
"10123710";"487";"NP - Beneficio Pleno";"5890,36";"01/02/2013"
"10123711";"487";"NP - Beneficio Pleno";"330,23";"01/05/2014"
"10123712";"487";"NP - Beneficio Pleno";"757,16";"04/08/2012"
"10123713";"487";"NP - Beneficio Pleno";"912,29";"14/05/2015"
"10123714";"487";"NP - Beneficio Pleno";"760,18";"16/05/2015"
"10123715";"487";"NP - Beneficio Pleno";"441,29";"28/05/2015"
"10123716";"487";"NP - Beneficio Pleno";"593,83";"21/03/2015"
"10123717";"487";"NP - Beneficio Pleno";"294,85";"21/08/2012"
"10123718";"487";"NP - Beneficio Pleno";"338,15";"25/08/2012"
"10123719";"487";"NP - Beneficio Pleno";"880,20";"18/05/2015"
"10123720";"487";"NP - Beneficio Pleno";"1041,94";"28/05/2015"
"10123721";"487";"NP - Beneficio Pleno";"85,15";"01/03/2008"
"10123722";"487";"NP - Beneficio Pleno";"243,96";"21/07/2012"
"10123723";"487";"NP - Beneficio Pleno";"505,73";"29/01/2011"
"10123724";"487";"NP - Beneficio Pleno";"236,64";"09/06/2011"
"10123725";"487";"NP - Beneficio Pleno";"522,33";"30/04/2015"
"10123726";"487";"NP - Beneficio Pleno";"789,36";"28/05/2015"
"10123727";"487";"NP - Beneficio Pleno";"2196,14";"16/02/2016"
"10123728";"487";"NP - Beneficio Pleno";"1813,55";"16/03/2015"
"10123729";"487";"NP - Beneficio Pleno";"164,24";"10/02/2009"
"10123730";"487";"NP - Beneficio Pleno";"233,33";"07/01/2011"
"10123731";"487";"NP - Beneficio Pleno";"359,08";"03/10/2013"
"10123732";"487";"NP - Beneficio Pleno";"244,32";"10/04/2009"
"10123733";"487";"NP - Beneficio Pleno";"468,11";"16/08/2012"
"10123734";"487";"NP - Beneficio Pleno";"155,25";"01/05/2010"
"10123735";"487";"NP - Beneficio Pleno";"72,22";"05/01/2008"
"10123736";"487";"NP - Beneficio Pleno";"807,75";"19/01/2013"
"10123737";"487";"NP - Beneficio Pleno";"523,00";"01/08/2012"
"10123738";"487";"NP - Beneficio Pleno";"65,58";"01/03/2008"
"10123739";"487";"NP - Beneficio Pleno";"909,27";"29/05/2015"
"10123740";"487";"NP - Beneficio Pleno";"215,88";"01/05/2010"
"10123741";"487";"NP - Beneficio Pleno";"682,89";"25/08/2012"
"10123742";"487";"NP - Beneficio Pleno";"407,34";"25/08/2012"
"10123743";"487";"NP - Beneficio Pleno";"510,60";"25/08/2012"
"10123744";"487";"NP - Beneficio Pleno";"460,75";"01/07/2010"
"10123745";"487";"NP - Beneficio Pleno";"766,83";"07/07/2012"
"10123746";"487";"NP - Beneficio Pleno";"540,91";"19/02/2011"
"10123747";"487";"NP - Beneficio Pleno";"1908,73";"06/09/2014"
"10123748";"487";"NP - Beneficio Pleno";"1083,54";"27/02/2016"
"10123749";"487";"NP - Beneficio Pleno";"810,43";"09/07/2013"
"10123750";"481";"NP - Beneficio por Invalidez";"1099,60";"27/08/2014"
"10123751";"487";"NP - Beneficio Pleno";"829,34";"26/04/2016"
"10123752";"487";"NP - Beneficio Pleno";"548,76";"18/04/2015"
"10123753";"487";"NP - Beneficio Pleno";"970,59";"27/05/2015"
"10123754";"487";"NP - Beneficio Pleno";"54,61";"01/03/2008"
"10123755";"487";"NP - Beneficio Pleno";"623,44";"16/07/2014"
"10123756";"487";"NP - Beneficio Pleno";"358,30";"19/04/2010"
"10123757";"487";"NP - Beneficio Pleno";"688,95";"28/07/2012"
"10123758";"487";"NP - Beneficio Pleno";"115,96";"24/10/2009"
"10123759";"487";"NP - Beneficio Pleno";"538,74";"01/11/2014"
"10123760";"487";"NP - Beneficio Pleno";"301,38";"24/08/2012"
"10123761";"487";"NP - Beneficio Pleno";"846,24";"17/08/2013"
"10123762";"487";"NP - Beneficio Pleno";"89,46";"16/07/2009"
"10123763";"487";"NP - Beneficio Pleno";"512,26";"25/08/2012"
"10123764";"487";"NP - Beneficio Pleno";"1273,55";"16/07/2016"
"10123765";"487";"NP - Beneficio Pleno";"56,03";"24/07/2008"
"10123766";"487";"NP - Beneficio Pleno";"1026,09";"28/04/2016"
"10123767";"487";"NP - Beneficio Pleno";"349,32";"03/07/2012"
"10123768";"487";"NP - Beneficio Pleno";"406,76";"25/07/2012"
"10123769";"487";"NP - Beneficio Pleno";"832,46";"30/05/2015"
"10123770";"487";"NP - Beneficio Pleno";"508,65";"26/05/2015"
"10123771";"487";"NP - Beneficio Pleno";"768,99";"10/03/2015"
"10123772";"487";"NP - Beneficio Pleno";"528,65";"24/12/2013"
"10123773";"487";"NP - Beneficio Pleno";"879,01";"25/05/2015"
"10123774";"487";"NP - Beneficio Pleno";"1127,29";"16/05/2015"
"10123775";"487";"NP - Beneficio Pleno";"790,63";"30/05/2015"
"10123776";"487";"NP - Beneficio Pleno";"346,18";"27/05/2015"
"10123777";"487";"NP - Beneficio Pleno";"1121,92";"30/05/2015"
"10123778";"487";"NP - Beneficio Pleno";"688,98";"25/08/2012"
"10123779";"487";"NP - Beneficio Pleno";"1702,04";"29/05/2015"
"10123780";"487";"NP - Beneficio Pleno";"923,31";"25/04/2015"
"10123781";"481";"NP - Beneficio por Invalidez";"1049,93";"15/10/2012"
"10123782";"487";"NP - Beneficio Pleno";"474,97";"18/04/2015"
"10123783";"487";"NP - Beneficio Pleno";"581,30";"17/04/2012"
"10123784";"487";"NP - Beneficio Pleno";"691,51";"09/04/2016"
"10123785";"487";"NP - Beneficio Pleno";"1063,56";"30/05/2015"
"10123786";"487";"NP - Beneficio Pleno";"1492,40";"29/05/2015"
"10123787";"487";"NP - Beneficio Pleno";"586,61";"22/08/2012"
"10123788";"487";"NP - Beneficio Pleno";"950,48";"25/03/2015"
"10123789";"487";"NP - Beneficio Pleno";"108,70";"02/01/2008"
"10123790";"487";"NP - Beneficio Pleno";"899,48";"23/05/2015"
"10123791";"487";"NP - Beneficio Pleno";"820,67";"23/08/2014"
"10123792";"487";"NP - Beneficio Pleno";"1035,41";"29/05/2015"
"10123793";"487";"NP - Beneficio Pleno";"999,63";"29/04/2016"
"10123794";"487";"NP - Beneficio Pleno";"1250,00";"30/05/2015"
"10123795";"487";"NP - Beneficio Pleno";"167,50";"26/01/2011"
"10123796";"487";"NP - Beneficio Pleno";"906,49";"25/05/2015"
"10123797";"487";"NP - Beneficio Pleno";"1240,46";"26/04/2016"
"10123798";"487";"NP - Beneficio Pleno";"969,29";"23/05/2015"
"10123799";"487";"NP - Beneficio Pleno";"446,83";"03/12/2011"
"10123800";"487";"NP - Beneficio Pleno";"653,80";"01/03/2013"
"10123801";"487";"NP - Beneficio Pleno";"815,24";"21/05/2015"
